,movie_id,title,content_type,genre_primary,genre_secondary,release_year,duration_minutes,rating,language,country_of_origin,imdb_rating,production_budget,box_office_revenue,number_of_seasons,number_of_episodes,is_netflix_original,added_to_platform,content_warning
83,movie_0084,Night Phoenix,Movie,Documentary,Crime,1998,114.0,PG,English,Germany,6.8,movie_0034,39250966.0,movie_0034,movie_0034,1,2023-09-08,1
84,movie_0085,Mission Secret,Stand-up Comedy,Crime,Crime,2009,44.0,TV-Y,Korean,USA,5.7,movie_0034,movie_0034,movie_0034,movie_0034,0,2024-05-03,1
85,movie_0086,Big Adventure,Documentary,Biography,Family,1998,68.0,G,English,UK,0.6,movie_0034,movie_0034,movie_0034,movie_0034,1,2024-07-11,0
86,movie_0087,Our Storm,Movie,Comedy,movie_0034,2010,38.0,PG-13,Italian,USA,6.6,movie_0034,movie_0034,movie_0034,movie_0034,0,2021-02-22,1
87,movie_0088,Journey Love,TV Series,Sport,movie_0034,1990,63.0,PG-13,English,Canada,7.2,movie_0034,movie_0034,4.0,79.0,0,2023-03-02,0
88,movie_0089,Mystery Day,Movie,Romance,movie_0034,2014,79.0,TV-Y7,Hindi,Japan,0.9,44425136.0,16348642.0,movie_0034,movie_0034,1,2021-06-07,1
89,movie_0090,Ice Kingdom,Documentary,Animation,Biography,2003,107.0,TV-PG,English,USA,8.7,movie_0034,movie_0034,movie_0034,movie_0034,0,2021-12-24,1
90,movie_0091,Dragon Ice,Documentary,Horror,movie_0034,1993,79.0,PG-13,English,Japan,4.7,movie_0034,movie_0034,movie_0034,movie_0034,1,2022-11-24,0
91,movie_0092,Story Kingdom,TV Series,War,movie_0034,1991,35.0,PG,English,UK,8.8,movie_0034,movie_0034,14.0,62.0,0,2024-04-23,0
92,movie_0093,City Queen,Movie,History,Biography,2020,101.0,R,English,USA,9.7,movie_0034,41795066.0,movie_0034,movie_0034,1,2024-03-31,0
93,movie_0094,Dark City,Stand-up Comedy,Western,Western,1993,68.0,TV-Y7,English,USA,5.3,movie_0034,movie_0034,movie_0034,movie_0034,0,2021-08-03,0
94,movie_0095,Legend Storm,TV Series,Fantasy,movie_0034,2003,32.0,TV-MA,English,USA,3.6,movie_0034,movie_0034,9.0,76.0,1,2025-05-06,0
95,movie_0096,King Fire,Movie,Action,movie_0034,2018,105.0,G,English,UK,4.5,8939550.0,4931077.0,movie_0034,movie_0034,0,2024-06-22,1
96,movie_0097,Secret War,Movie,Fantasy,movie_0034,2001,102.0,TV-Y,Hindi,Canada,3.1,2137471.0,36710118.0,movie_0034,movie_0034,0,2021-05-15,0
97,movie_0098,A War,Stand-up Comedy,Adventure,movie_0034,2001,77.0,PG-13,English,USA,6.4,movie_0034,movie_0034,movie_0034,movie_0034,1,2022-07-27,0
98,movie_0099,Dragon Day,Documentary,Western,movie_0034,2021,110.0,PG,English,UK,8.3,movie_0034,movie_0034,movie_0034,movie_0034,0,2021-07-06,1
99,movie_0100,Adventure Dream,Movie,Fantasy,movie_0034,1996,99.0,TV-G,English,Canada,6.0,8590064.0,movie_0034,movie_0034,movie_0034,0,2024-07-30,0
100,movie_0101,King House,TV Series,Animation,movie_0034,2008,45.0,TV-MA,English,South Korea,6.9,movie_0034,movie_0034,3.0,96.0,0,2025-07-19,0
101,movie_0102,Fire War,TV Series,Comedy,Sci-Fi,2003,32.0,TV-14,Italian,South Korea,5.1,movie_0034,movie_0034,6.0,74.0,0,2023-08-17,1
102,movie_0103,Family Battle,Stand-up Comedy,Sci-Fi,Action,2017,52.0,NC-17,Italian,France,8.2,movie_0034,movie_0034,movie_0034,movie_0034,0,2024-04-16,0
103,movie_0104,Mystery Mystery,Movie,War,Fantasy,2001,107.0,TV-Y,English,South Korea,movie_0034,movie_0034,13208249.0,movie_0034,movie_0034,0,2024-11-24,0
104,movie_0105,Adventure House,Movie,Animation,Adventure,1992,109.0,TV-MA,Korean,USA,6.3,1354517.0,3059547.0,movie_0034,movie_0034,1,2023-09-28,0
105,movie_0106,Dragon Night,Documentary,Animation,Family,1991,89.0,NC-17,Spanish,South Korea,7.3,movie_0034,movie_0034,movie_0034,movie_0034,0,2020-08-25,1
106,movie_0107,Love Kingdom,Documentary,Biography,movie_0034,2014,87.0,TV-MA,English,UK,6.1,movie_0034,movie_0034,movie_0034,movie_0034,0,2023-03-02,1
107,movie_0108,First Phoenix,Movie,Fantasy,movie_0034,2000,128.0,TV-G,Italian,USA,7.8,747506.0,151826737.0,movie_0034,movie_0034,0,2021-03-14,1
108,movie_0109,Family Story,Movie,War,movie_0034,2023,119.0,PG-13,English,USA,6.5,2792744.0,194859508.0,movie_0034,movie_0034,0,2022-12-24,0
109,movie_0110,Queen Day,Movie,Comedy,Adventure,1998,122.0,NC-17,English,USA,5.5,3551286.0,movie_0034,movie_0034,movie_0034,1,2022-06-03,0
110,movie_0111,Kingdom Mission,Movie,Sport,movie_0034,1995,106.0,TV-Y7,English,USA,movie_0034,770163.0,3222643.0,movie_0034,movie_0034,0,2021-03-12,1
111,movie_0112,King Princess,TV Series,Music,Biography,1991,69.0,R,English,USA,movie_0034,movie_0034,movie_0034,2.0,103.0,1,2022-01-22,0
112,movie_0113,A Quest,Movie,History,movie_0034,2022,110.0,PG-13,French,Germany,5.9,845349.0,4568753.0,movie_0034,movie_0034,0,2020-12-09,1
113,movie_0114,Journey King,TV Series,Animation,Mystery,2008,46.0,TV-PG,English,India,9.7,movie_0034,movie_0034,9.0,48.0,0,2022-10-24,0
114,movie_0115,War Dragon,Movie,Crime,movie_0034,2021,69.0,NC-17,English,USA,6.0,18860431.0,57338013.0,movie_0034,movie_0034,1,2021-04-09,0
115,movie_0116,Secret Story,Documentary,Biography,Documentary,1990,134.0,TV-14,French,France,4.7,movie_0034,movie_0034,movie_0034,movie_0034,0,2024-02-27,1
116,movie_0117,Little Dragon,Movie,Family,movie_0034,2013,109.0,R,English,USA,5.2,794995.0,24268353.0,movie_0034,movie_0034,1,2022-04-27,1
117,movie_0118,Hero Love,Documentary,Sport,movie_0034,2014,96.0,TV-14,English,USA,movie_0034,movie_0034,movie_0034,movie_0034,movie_0034,0,2021-07-14,0
118,movie_0119,Little Warrior,Documentary,Action,Adventure,2019,98.0,G,Hindi,South Korea,8.5,movie_0034,movie_0034,movie_0034,movie_0034,0,2025-07-26,1
119,movie_0120,Last Mission,Movie,Mystery,Comedy,2022,152.0,TV-Y,English,USA,5.2,movie_0034,22144747.0,movie_0034,movie_0034,0,2024-04-21,0
120,movie_0121,Last Dream,Movie,Mystery,movie_0034,2004,113.0,G,English,USA,6.1,1666756.0,movie_0034,movie_0034,movie_0034,0,2022-09-09,0
121,movie_0122,Little Queen,Movie,History,movie_0034,2019,125.0,TV-MA,English,USA,3.9,9321651.0,5551808.0,movie_0034,movie_0034,0,2024-08-01,0
122,movie_0123,Family Fire,Movie,Documentary,History,2008,109.0,R,English,USA,4.5,556402.0,8920240.0,movie_0034,movie_0034,1,2023-04-03,0
123,movie_0124,Bright House,TV Series,Comedy,movie_0034,2003,38.0,TV-Y,English,USA,6.6,movie_0034,movie_0034,12.0,14.0,1,2024-01-14,0
124,movie_0125,Our Queen,Movie,Western,Music,2010,105.0,PG,English,Canada,5.0,16341730.0,39189864.0,movie_0034,movie_0034,1,2022-01-10,0
125,movie_0126,Journey Princess,Movie,Sci-Fi,Biography,2003,125.0,TV-MA,Spanish,USA,7.4,26713214.0,5582578.0,movie_0034,movie_0034,0,2022-12-29,0
126,movie_0127,Dragon Quest,Documentary,Music,Drama,2016,85.0,PG,English,USA,4.4,movie_0034,movie_0034,movie_0034,movie_0034,0,2024-12-22,0
127,movie_0128,A Quest,Limited Series,History,movie_0034,2008,58.0,NC-17,English,Canada,4.9,movie_0034,movie_0034,2.0,153.0,0,2022-03-29,0
128,movie_0129,Mission Fire,Stand-up Comedy,Sci-Fi,Crime,2000,36.0,TV-Y7,English,USA,movie_0034,movie_0034,movie_0034,movie_0034,movie_0034,1,2023-10-10,0
129,movie_0130,Last House,Movie,Action,movie_0034,1990,36.0,NC-17,English,Japan,6.4,10949397.0,45443003.0,movie_0034,movie_0034,0,2020-11-19,0
130,movie_0131,Story Mystery,Movie,Sci-Fi,movie_0034,2024,115.0,TV-Y7,English,USA,6.4,31998338.0,4303498.0,movie_0034,movie_0034,1,2025-04-25,0
131,movie_0132,Dragon War,Documentary,Comedy,movie_0034,2022,95.0,TV-PG,Spanish,Japan,7.7,movie_0034,movie_0034,movie_0034,movie_0034,0,2021-01-12,0
132,movie_0133,Adventure Princess,Movie,Family,movie_0034,1993,97.0,R,English,USA,7.8,9889659.0,36933865.0,movie_0034,movie_0034,0,2021-12-12,0
133,movie_0134,Story Night,Stand-up Comedy,Adventure,Animation,1999,52.0,PG,Spanish,France,7.3,movie_0034,movie_0034,movie_0034,movie_0034,0,2023-08-24,0
134,movie_0135,Princess House,Movie,Western,movie_0034,2016,73.0,TV-G,Japanese,USA,5.3,movie_0034,196392638.0,movie_0034,movie_0034,0,2023-08-10,0
135,movie_0136,First House,Documentary,Adventure,movie_0034,2001,404.0,NC-17,English,Canada,1,movie_0034,movie_0034,movie_0034,movie_0034,0,2023-05-25,0
136,movie_0137,First Mission,Movie,History,movie_0034,2023,106.0,TV-Y7,English,USA,7.6,992285.0,84883879.0,movie_0034,movie_0034,0,2020-12-26,0
137,movie_0138,Kingdom Fire,Movie,Biography,Comedy,2024,118.0,PG,English,Canada,5.6,2785266.0,20178073.0,movie_0034,movie_0034,0,2023-05-29,0
138,movie_0139,Last War,Limited Series,Mystery,movie_0034,1993,23.0,TV-G,English,USA,4.4,movie_0034,movie_0034,2.0,102.0,0,2024-05-05,0
139,movie_0140,City Empire,Documentary,Sport,movie_0034,2023,19.0,TV-14,English,France,5.6,movie_0034,movie_0034,movie_0034,movie_0034,0,2025-06-20,0
140,movie_0141,War Story,Movie,Action,Crime,1990,96.0,PG,Korean,Japan,3.9,movie_0034,351613.0,movie_0034,movie_0034,0,2024-10-30,1
141,movie_0142,Battle Secret,Limited Series,Western,movie_0034,2018,71.0,TV-Y7,English,UK,movie_0034,movie_0034,movie_0034,14.0,169.0,0,2021-02-26,1
142,movie_0143,Adventure Fire,Movie,Biography,movie_0034,2006,143.0,NC-17,German,Germany,5.0,792013.0,5298432.0,movie_0034,movie_0034,1,2022-12-28,0
143,movie_0144,Our Dream,TV Series,Comedy,movie_0034,2013,37.0,TV-14,Korean,India,9.4,movie_0034,movie_0034,11.0,42.0,1,2020-12-07,0
144,movie_0145,Fire Empire,TV Series,Thriller,Sci-Fi,1990,40.0,G,English,UK,8.4,movie_0034,movie_0034,10.0,197.0,1,2024-03-09,0
145,movie_0146,Bright Love,Movie,War,movie_0034,2014,79.0,PG-13,English,USA,4.4,movie_0034,movie_0034,movie_0034,movie_0034,0,2024-11-22,0
146,movie_0147,Dark Love,Documentary,Action,movie_0034,1996,34.0,G,Japanese,UK,3.9,movie_0034,movie_0034,movie_0034,movie_0034,0,2023-02-11,0
147,movie_0148,War Storm,TV Series,Mystery,movie_0034,1997,66.0,TV-Y7,Spanish,USA,8.9,movie_0034,movie_0034,1,101.0,1,2022-07-29,0
148,movie_0149,The Fire,Documentary,Action,movie_0034,2000,364.0,TV-PG,Spanish,USA,3.0,movie_0034,movie_0034,movie_0034,movie_0034,0,2023-09-12,0
149,movie_0150,Story Fire,Movie,Adventure,Sport,2013,157.0,TV-14,English,Japan,8.1,28183154.0,26250908.0,movie_0034,movie_0034,0,2022-12-26,1
150,movie_0151,Night Love,Movie,Animation,movie_0034,2005,98.0,TV-Y,English,South Korea,6.2,5071451.0,235899.0,movie_0034,movie_0034,0,2022-12-11,0
151,movie_0152,Fire Quest,Movie,Documentary,Sport,1991,104.0,TV-MA,Hindi,USA,3.6,movie_0034,movie_0034,movie_0034,movie_0034,0,2020-10-13,0
152,movie_0153,Phoenix Dragon,Movie,Animation,movie_0034,2007,148.0,NC-17,Spanish,USA,7.8,1445488.0,movie_0034,movie_0034,movie_0034,1,2024-01-30,0
153,movie_0154,Bright Phoenix,TV Series,Sci-Fi,movie_0034,1998,19.0,TV-Y,Italian,UK,5.0,movie_0034,movie_0034,14.0,187.0,1,2024-01-15,0
154,movie_0155,Dream Battle,Movie,Romance,movie_0034,2005,140.0,TV-Y7,English,USA,6.5,movie_0034,10889136.0,movie_0034,movie_0034,0,2025-07-01,0
155,movie_0156,An Ice,Movie,History,Thriller,2019,111.0,TV-14,English,France,6.0,19903417.0,10427828.0,movie_0034,movie_0034,1,2023-07-16,0
156,movie_0157,Last Ice,Documentary,Sport,movie_0034,2001,77.0,R,German,USA,10.0,movie_0034,movie_0034,movie_0034,movie_0034,0,2022-02-15,0
157,movie_0158,Storm Princess,Documentary,War,movie_0034,2019,110.0,R,English,USA,movie_0034,movie_0034,movie_0034,movie_0034,movie_0034,0,2022-02-27,1
158,movie_0159,Battle Family,Movie,Drama,Mystery,2001,121.0,NC-17,Korean,India,7.7,6129856.0,6244192.0,movie_0034,movie_0034,0,2023-01-23,0
159,movie_0160,Love Journey,Movie,Comedy,movie_0034,2016,10.0,R,Italian,Canada,6.6,9355608.0,738634327.0,movie_0034,movie_0034,0,2023-08-19,0
160,movie_0161,Our King,Movie,Western,movie_0034,1993,97.0,TV-Y,English,Germany,6.5,3405303.0,894261.0,movie_0034,movie_0034,0,2021-02-20,0
161,movie_0162,Day Fire,TV Series,Animation,Sci-Fi,2005,40.0,TV-PG,Spanish,South Korea,5.8,movie_0034,movie_0034,5.0,111.0,0,2021-08-23,0
